size_MB,latency_ns
0.00049,1.166
0.00098,1.166
0.00195,1.166
0.00293,1.166
0.00391,1.166
0.00586,1.166
0.00781,1.166
0.01172,1.166
0.01562,1.166
0.02344,1.166
0.03125,1.166
0.04688,1.238
0.06250,1.763
0.09375,2.065
0.12500,1.840
0.18750,1.767
0.25000,1.730
0.37500,1.694
0.50000,1.686
0.75000,1.667
1.00000,1.640
1.50000,2.027
2.00000,2.118
3.00000,2.261
4.00000,2.315
6.00000,2.269
8.00000,2.421
12.00000,3.342
16.00000,4.616
24.00000,5.533
32.00000,6.006
48.00000,6.400
64.00000,6.542
96.00000,6.837
128.00000,6.803
192.00000,6.893
256.00000,6.941
384.00000,6.932
512.00000,6.922
768.00000,6.862
1024.00000,6.962
1536.00000,7.087
2048.00000,6.865
3072.00000,7.048
4096.00000,6.833
6144.00000,6.824
8192.00000,7.091
12288.00000,6.811
16384.00000,6.955
24576.00000,6.999
32768.00000,421.352

